Economy,Economy Code,ISO Code,Region,Income Group,Report Year,Does the law prohibit discrimination in employment based on gender?,Score,Legal Basis,Length of paid maternity leave,Length of paid paternity leave,Shared days
Bhutan,BTN,BTN,South Asia,Lower middle income,2015,Yes,1,"Labor and Employment Act 2007, Secs. 11-13 and 237",56,7,0
Bhutan,BTN,BTN,South Asia,Lower middle income,2016,Yes,1,"Labor and Employment Act 2007, Secs. 11-13 and 237",56,7,0
Bhutan,BTN,BTN,South Asia,Lower middle income,2017,Yes,1,"Labor and Employment Act 2007, Secs. 11-13 and 237",56,7,0
Bhutan,BTN,BTN,South Asia,Lower middle income,2018,Yes,1,"Labor and Employment Act 2007, Secs. 11-13 and 237",56,7,0
Bhutan,BTN,BTN,South Asia,Lower middle income,2019,Yes,1,"Labor and Employment Act 2007, Secs. 11-13 and 237",56,7,0
Bhutan,BTN,BTN,South Asia,Lower middle income,2020,Yes,1,"Labor and Employment Act 2007, Secs. 11-13 and 237",56,7,0
Bhutan,BTN,BTN,South Asia,Lower middle income,2021,Yes,1,"Labor and Employment Act 2007, Secs. 11-13 and 237",56,7,0
Bhutan,BTN,BTN,South Asia,Lower middle income,2022,Yes,1,"Labor and Employment Act 2007, Secs. 11-13 and 237",56,7,0
Bhutan,BTN,BTN,South Asia,Lower middle income,2023,Yes,1,"Labor and Employment Act 2007, Secs. 11-13 and 237",60,14,0
Bhutan,BTN,BTN,South Asia,Lower middle income,2024,Yes,1,"Labor and Employment Act 2007, Secs. 11-13 and 237",60,14,0
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,2015,No,0,No applicable provisions could be located,90,3,0
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,2016,No,0,No applicable provisions could be located,90,3,0
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,2017,No,0,No applicable provisions could be located,90,3,0
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,2018,No,0,No applicable provisions could be located,90,3,0
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,2019,No,0,No applicable provisions could be located,90,3,0
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,2020,No,0,No applicable provisions could be located,90,3,0
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,2021,No,0,No applicable provisions could be located,90,3,0
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,2022,No,0,No applicable provisions could be located,90,3,0
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,2023,No,0,No applicable provisions could be located,90,3,0
Bolivia,BOL,BOL,Latin America & Caribbean,Lower middle income,2024,No,0,No applicable provisions could be located,90,3,0
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,2015,Yes,1,Law on Gender Equality of June 2003,365,9,0
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,2016,Yes,1,Law on Gender Equality of June 2003,365,9,0
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,2017,Yes,1,"Labor Law No.62/15 of 2015, Art. 8",365,9,0
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,2018,Yes,1,"Labor Code of 31 March 2016 of the Federation of Bosnia and Herzegovina (Official Gazette 26/16), Art. 8",365,9,0
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,2019,Yes,1,"Labor Code of 31 March 2016 of the Federation of Bosnia and Herzegovina (Official Gazette 26/16), Art. 8",365,9,0
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,2020,Yes,1,"Law on Gender Equality, Arts. 12 and 13",365,9,0
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,2021,Yes,1,"Law on Gender Equality, Arts. 12 and 13",365,9,0
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,2022,Yes,1,"Law on Gender Equality, Arts. 12 and 13",365,9,0
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,2023,Yes,1,"Law on Gender Equality, Arts. 12 and 13",365,9,0
Bosnia and Herzegovina,BIH,BIH,Europe & Central Asia,Upper middle income,2024,Yes,1,"Law on Gender Equality, Arts. 12 and 13",365,9,0
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,2015,No,0,No applicable provisions could be located,84,0,0
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,2016,No,0,No applicable provisions could be located,84,0,0
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,2017,No,0,No applicable provisions could be located,84,0,0
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,2018,No,0,No applicable provisions could be located,84,0,0
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,2019,No,0,No applicable provisions could be located,84,0,0
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,2020,No,0,No applicable provisions could be located,84,0,0
Botswana,BWA,BWA,Sub-Saharan Africa,Upper middle income,2021,No,0,No applicable provisions could be located,84,0,0
